event_id,label,attack_type,attack_subtype
evt-3aa7cea1,normal,normal,normal
evt-d5b81403,normal,normal,normal
evt-d0e0c321,normal,normal,normal
evt-19f273c0,normal,normal,normal
evt-0a1db0ff,normal,normal,normal
evt-869b8778,normal,normal,normal
evt-e1930f4e,normal,normal,normal
evt-6a9d2c0d,normal,normal,normal
evt-44bca9e0,normal,normal,normal
evt-714460e2,normal,normal,normal
evt-96832ff4,normal,normal,normal
evt-bf1f8bc2,normal,normal,normal
evt-97b24564,normal,normal,normal
evt-ff069155,normal,normal,normal
evt-197b0dd3,normal,normal,normal
evt-c1733ffe,normal,normal,normal
evt-237b7d34,normal,normal,normal
evt-12611928,normal,normal,normal
evt-f37455d6,normal,normal,normal
evt-782a8e54,normal,normal,normal
evt-ed1050b3,normal,normal,normal
evt-312f992e,normal,normal,normal
evt-90a686da,normal,normal,normal
evt-4749e9b0,normal,normal,normal
evt-7853f385,normal,normal,normal
evt-a74e46ab,normal,normal,normal
evt-48af1032,normal,normal,normal
evt-0a8b09f4,normal,normal,normal
evt-19f60483,normal,normal,normal
evt-1f85cdc5,normal,normal,normal
evt-2ad5ec40,normal,normal,normal
evt-5e45413c,normal,normal,normal
evt-7411612a,normal,normal,normal
evt-45542cc4,normal,normal,normal
evt-0a1a3929,normal,normal,normal
evt-083a4e97,normal,normal,normal
evt-199d2840,normal,normal,normal
evt-7080b266,normal,normal,normal
evt-463cdc77,normal,normal,normal
evt-86633a4e,normal,normal,normal
evt-d7ad1db9,normal,normal,normal
evt-148b8d5e,normal,normal,normal
evt-a23acd69,normal,normal,normal
evt-13dccaae,normal,normal,normal
evt-2f4856f6,normal,normal,normal
evt-751a90d5,normal,normal,normal
evt-573fc9a9,normal,normal,normal
evt-85eeecf1,normal,normal,normal
evt-bb05ee67,normal,normal,normal
evt-cc046f80,normal,normal,normal
evt-26e01eac,normal,normal,normal
evt-37dc7927,normal,normal,normal
evt-b132fdca,normal,normal,normal
evt-9afbb896,normal,normal,normal
evt-25d1b956,normal,normal,normal
evt-f773cf90,normal,normal,normal
evt-3254f047,normal,normal,normal
evt-0557bc07,normal,normal,normal
evt-dd78e546,normal,normal,normal
