entity_id,entity_type,entity_role,department,primary_geo,secondary_geo,work_hours_start,work_hours_end,work_days,known_devices,typical_resources,typical_auth_method,avg_session_duration,avg_bytes_per_session,onboarding_date
USR-0026,user,employee,Operations,"New York, US",,9,18,"[0, 1, 2, 3, 4]",['fp-2ed856b2'],"['/mail/sent', '/mail/attachments', '/mail/compose', '/docs/team-wiki', '/intranet/directory', '/docs/shared', '/docs/templates']",sso,3600,25000,2025-01-12
SVC-0158,service_account,service,Automated Services,"San Francisco, US",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-3ecd31c1'],"['/docs/team-wiki', '/docs/templates', '/infra/ad-config']",token,30,5000,2025-07-02
SVC-0173,service_account,service,Automated Services,"Bangalore, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-d389f9e9'],"['/infra/firewall-rules', '/infra/ad-config', '/infra/vpn-gateway']",token,30,5000,2025-10-29
USR-0090,user,developer,Engineering,"Pune, IN","Sydney, AU",8,22,"[0, 1, 2, 3, 4, 5]","['fp-a906ded7', 'fp-3124b36d']","['/staging/api-v2', '/git/repo-ml-pipeline', '/git/repo-backend', '/ci/pipeline-test', '/ci/pipeline-deploy', '/ci/pipeline-build', '/intranet/policies', '/portal/dashboard']",token,5400,500000,2025-02-22
USR-0103,user,hr,Human Resources,"Chennai, IN",,9,17,"[0, 1, 2, 3, 4]",['fp-15000016'],"['/hr/onboarding', '/hr/leave-management', '/hr/payroll-view', '/hr/performance-reviews', '/mail/compose', '/mail/calendar']",sso,2400,50000,2025-08-26
USR-0092,user,developer,Engineering,"Chennai, IN","Pune, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-653b6c22', 'fp-fa1e9044']","['/staging/api-v2', '/git/repo-mobile', '/git/repo-infra', '/ci/pipeline-build', '/ci/pipeline-test', '/staging/api-v3', '/portal/announcements', '/docs/shared']",token,5400,500000,2026-03-27
SVC-0175,service_account,service,Automated Services,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-e1e20cfc'],"['/portal/announcements', '/infra/load-balancer', '/docs/templates']",token,30,5000,2025-11-22
SVC-0174,service_account,service,Automated Services,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-4068a958'],"['/portal/dashboard', '/infra/backup-config', '/portal/announcements']",token,30,5000,2025-05-23
USR-0100,user,hr,Human Resources,"New York, US",,9,17,"[0, 1, 2, 3, 4]",['fp-0af49486'],"['/hr/payroll-view', '/hr/recruitment-portal', '/hr/employee-records', '/hr/onboarding', '/mail/calendar', '/mail/compose']",sso,2400,50000,2025-01-14
USR-0147,user,admin,IT Infrastructure,"Ahmedabad, IN","Chennai, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-b2427681', 'fp-56d96354', 'fp-805e5f9e', 'fp-381842d3']","['/infra/k8s-cluster', '/infra/certificate-manager', '/infra/backup-config', '/infra/server-monitoring', '/infra/docker-registry', '/infra/dns-config', '/admin/system-settings', '/admin/user-management', '/admin/security-policies', '/admin/audit-trail']",certificate,1800,500000,2026-03-13
USR-0073,user,developer,Engineering,"Singapore, SG","Delhi, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-6c601233', 'fp-7c495f0d']","['/git/repo-frontend', '/ci/pipeline-deploy', '/staging/api-v3', '/git/repo-ml-pipeline', '/ci/pipeline-test', '/git/repo-infra', '/portal/announcements', '/portal/dashboard']",token,5400,500000,2025-01-09
USR-0012,user,employee,Operations,"San Francisco, US",,9,18,"[0, 1, 2, 3, 4]",['fp-456c3dc4'],"['/mail/attachments', '/mail/inbox', '/mail/compose', '/intranet/directory', '/intranet/policies', '/docs/shared', '/portal/announcements']",sso,3600,25000,2025-06-12
USR-0128,user,finance,Finance,"Pune, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-2652190a'],"['/finance/erp-dashboard', '/finance/budget-planning', '/api/finance/quarterly-report', '/finance/audit-logs', '/api/payroll/export', '/mail/inbox', '/mail/attachments']",password,3000,200000,2025-01-14
